,origin_lat,origin_lng,destination_lat,destination_lng,route_name
0,30.659218,-87.74606700000001,37.647139,-121.91248799999998,Baldwin County-Alameda County
1,33.770516,-85.82790899999999,37.647139,-121.91248799999998,Calhoun County-Alameda County
2,33.553444,-86.896536,37.647139,-121.91248799999998,Jefferson County-Alameda County
3,34.764238,-86.55108,37.647139,-121.91248799999998,Madison County-Alameda County
4,34.309564,-86.321668,37.647139,-121.91248799999998,Marshall County-Alameda County
5,30.684571999999996,-88.196568,37.647139,-121.91248799999998,Mobile County-Alameda County
6,32.202881,-86.204461,37.647139,-121.91248799999998,Montgomery County-Alameda County
7,33.296793,-88.096863,37.647139,-121.91248799999998,Pickens County-Alameda County
8,51.948964000000004,179.621188,37.647139,-121.91248799999998,Aleutians West Census Area-Alameda County
9,61.17425,-149.284329,37.647139,-121.91248799999998,Anchorage Municipality-Alameda County
10,63.682039,-150.027016,37.647139,-121.91248799999998,Denali Borough-Alameda County
11,64.67604399999999,-146.548159,37.647139,-121.91248799999998,Fairbanks North Star Borough-Alameda County
12,58.37291,-134.17844499999998,37.647139,-121.91248799999998,Juneau City and Borough-Alameda County
13,55.449938,-131.106685,37.647139,-121.91248799999998,Ketchikan Gateway Borough-Alameda County
14,57.7044,-153.918372,37.647139,-121.91248799999998,Kodiak Island Borough-Alameda County
15,62.27909399999999,-149.619094,37.647139,-121.91248799999998,Matanuska-Susitna Borough-Alameda County
16,61.34984300000001,-145.023109,37.647139,-121.91248799999998,Valdez-Cordova Census Area-Alameda County
17,35.385084,-109.490172,37.647139,-121.91248799999998,Apache County-Alameda County
18,31.840128999999997,-109.77516299999999,37.647139,-121.91248799999998,Cochise County-Alameda County
19,35.829692,-111.773728,37.647139,-121.91248799999998,Coconino County-Alameda County
20,33.789618,-110.81187,37.647139,-121.91248799999998,Gila County-Alameda County
21,33.238872,-109.242323,37.647139,-121.91248799999998,Greenlee County-Alameda County
22,33.345176,-112.49893,37.647139,-121.91248799999998,Maricopa County-Alameda County
23,35.717705,-113.74968899999999,37.647139,-121.91248799999998,Mohave County-Alameda County
24,35.390785,-110.321025,37.647139,-121.91248799999998,Navajo County-Alameda County
25,32.128043,-111.783657,37.647139,-121.91248799999998,Pima County-Alameda County
26,32.918521000000005,-111.36634,37.647139,-121.91248799999998,Pinal County-Alameda County
27,31.525733000000002,-110.845228,37.647139,-121.91248799999998,Santa Cruz County-Alameda County
28,34.631071,-112.577225,37.647139,-121.91248799999998,Yavapai County-Alameda County
29,32.773942,-113.910905,37.647139,-121.91248799999998,Yuma County-Alameda County
30,36.337819,-94.256298,37.647139,-121.91248799999998,Benton County-Alameda County
31,35.583011,-94.23621899999999,37.647139,-121.91248799999998,Crawford County-Alameda County
32,33.587241999999996,-91.722778,37.647139,-121.91248799999998,Drew County-Alameda County
33,36.383619,-91.819664,37.647139,-121.91248799999998,Fulton County-Alameda County
34,33.666699,-93.305072,37.647139,-121.91248799999998,Nevada County-Alameda County
35,34.946363,-92.926877,37.647139,-121.91248799999998,Perry County-Alameda County
36,34.770311,-92.312996,37.647139,-121.91248799999998,Pulaski County-Alameda County
37,33.168219,-92.598145,37.647139,-121.91248799999998,Union County-Alameda County
38,38.44355,-120.653856,37.647139,-121.91248799999998,Amador County-Alameda County
39,39.665959,-121.601919,37.647139,-121.91248799999998,Butte County-Alameda County
40,38.1839,-120.56144099999999,37.647139,-121.91248799999998,Calaveras County-Alameda County
41,39.177739,-122.237563,37.647139,-121.91248799999998,Colusa County-Alameda County
42,37.919478999999995,-121.95154299999999,37.647139,-121.91248799999998,Contra Costa County-Alameda County
43,41.763958,-124.00361399999998,37.647139,-121.91248799999998,Del Norte County-Alameda County
44,38.785612,-120.534225,37.647139,-121.91248799999998,El Dorado County-Alameda County
45,36.761006,-119.655019,37.647139,-121.91248799999998,Fresno County-Alameda County
46,39.602546000000004,-122.4017,37.647139,-121.91248799999998,Glenn County-Alameda County
47,40.706655,-123.926176,37.647139,-121.91248799999998,Humboldt County-Alameda County
48,33.040814000000005,-115.3554,37.647139,-121.91248799999998,Imperial County-Alameda County
49,36.561977,-117.403927,37.647139,-121.91248799999998,Inyo County-Alameda County
50,35.346629,-118.729506,37.647139,-121.91248799999998,Kern County-Alameda County
51,36.072478000000004,-119.81553000000001,37.647139,-121.91248799999998,Kings County-Alameda County
52,39.094802,-122.746757,37.647139,-121.91248799999998,Lake County-Alameda County
53,40.721086,-120.629952,37.647139,-121.91248799999998,Lassen County-Alameda County
54,34.196397999999995,-118.26186200000001,37.647139,-121.91248799999998,Los Angeles County-Alameda County
55,37.209821000000005,-119.749802,37.647139,-121.91248799999998,Madera County-Alameda County
56,38.051817,-122.745974,37.647139,-121.91248799999998,Marin County-Alameda County
57,37.570029999999996,-119.912861,37.647139,-121.91248799999998,Mariposa County-Alameda County
58,39.432388,-123.442881,37.647139,-121.91248799999998,Mendocino County-Alameda County
59,37.194806,-120.722802,37.647139,-121.91248799999998,Merced County-Alameda County
60,36.240107,-121.315572,37.647139,-121.91248799999998,Monterey County-Alameda County
61,38.5071,-122.32590400000001,37.647139,-121.91248799999998,Napa County-Alameda County
62,39.297508,-120.77134299999999,37.647139,-121.91248799999998,Nevada County-Alameda County
63,33.675686999999996,-117.777207,37.647139,-121.91248799999998,Orange County-Alameda County
64,39.062032,-120.722718,37.647139,-121.91248799999998,Placer County-Alameda County
65,33.729828000000005,-116.00223899999999,37.647139,-121.91248799999998,Riverside County-Alameda County
66,38.450016,-121.340441,37.647139,-121.91248799999998,Sacramento County-Alameda County
