State,City,Region,Year,County,Investment (USD)
MI,Royal Oak,Detroit,2015,Oakland County,9400000.0
CA,Aliso Viejo,Anaheim,2013,Orange County,9400000.0
VA,Sterling,"Washington, D.C.",2013,Loudoun County,9300000.0
PA,Lansdale,Philadelphia,2011,Montgomery County,9000000.0
KY,Lexington,Lexington,2014,Fayette County,9000000.0
NC,Tarboro,Raleigh,2015,Edgecombe County,9000000.0
PA,Conshohocken,Philadelphia,2015,Montgomery County,9000000.0
CA,Danville,SF Bay Area,2013,Contra Costa County,9000000.0
OH,Chagrin Falls,Cleveland,2013,Cuyahoga County,8875000.0
NJ,North Bergen,Newark,2012,Hudson County,8800000.0
MA,Wakefield,Boston,2012,Middlesex County,8600000.0
CO,Arvada,Denver,2012,Jefferson County,8600000.0
TX,Plano,Dallas,2012,Collin County,8500000.0
FL,Wesley Chapel,Tampa,2014,Pasco County,8500000.0
FL,Boca Raton,Palm Beaches,2011,Palm Beach County,8500000.0
TN,Cordova,Memphis,2013,Shelby County,8382380.0
OH,Chagrin Falls,Cleveland,2012,Cuyahoga County,8350000.0
VA,Richmond,Richmond,2014,Richmond (city) County,8300000.0
VA,Blacksburg,Roanoke,2014,Montgomery County,8200000.0
WI,Wauwatosa,Milwaukee,2015,Milwaukee County,8200000.0
NC,Apex,Raleigh,2013,Wake County,8000000.0
FL,Hollywood,Ft. Lauderdale,2012,Broward County,8000000.0
OR,Bend,Eugene,2011,Deschutes County,8000000.0
MA,Somerville,Boston,2014,Middlesex County,8000000.0
MN,Minnetonka,Minneapolis,2014,Hennepin County,8000000.0
KS,Topeka,Topeka,2011,Shawnee County,8000000.0
WA,Tacoma,Seattle,2013,Pierce County,8000000.0
MO,Kansas City,Kansas City,2013,Jackson County,8000000.0
SC,Mount Pleasant,"Charleston, South Carolina",2013,Charleston County,8000000.0
TX,Tyler,Dallas,2015,Smith County,8000000.0
MD,Scotland,MD - Other,2015,St. Mary's County,8000000.0
CO,Greenwood Village,Denver,2012,Arapahoe County,8000000.0
CA,Santa Barbara,Santa Barbara,2011,Santa Barbara County,8000000.0
MD,College Park,"Washington, D.C.",2014,Prince George's County,7800000.0
KS,Olathe,Kansas City,2015,Johnson County,7700000.0
UT,Lindon,Salt Lake City,2014,Utah County,7500000.0
TN,Franklin,Nashville,2013,Williamson County,7300000.0
GA,Alpharetta,Atlanta,2011,Fulton County,7100000.0
CA,Napa,Napa Valley,2012,Napa County,7000200.0
PA,Doylestown,Philadelphia,2014,Bucks County,7000000.0
NJ,Morristown,Newark,2011,Morris County,7000000.0
CA,Livermore,SF Bay Area,2011,Alameda County,7000000.0
SC,Charleston,"Charleston, South Carolina",2015,Charleston County,7000000.0
LA,New Orleans,New Orleans,2015,Orleans County,7000000.0
MN,Mendota,MN - Other,2012,Dakota County,7000000.0
NE,Omaha,Omaha,2014,Douglas County,7000000.0
CA,San Luis Obispo,San Luis Obispo,2014,San Luis Obispo County,7000000.0
IL,Northbrook,Chicago,2015,Cook County,7000000.0
WA,Bothell,Seattle,2013,King County,7000000.0
PA,Newtown,Philadelphia,2013,Bucks County,7000000.0
KS,Kansas City,Kansas City,2013,Wyandotte County,6900000.0
NY,Buffalo,Buffalo,2014,Erie County,6875000.0
NJ,Roseland,Newark,2014,Essex County,6813355.0
CT,Stamford,Hartford,2013,Fairfield County,6808352.0
CA,Lafayette,SF Bay Area,2014,Contra Costa County,6800000.0
CA,Hermosa Beach,Los Angeles,2015,Los Angeles County,6800000.0
WA,Kent,Seattle,2013,King County,6600000.0
KS,Overland Park,Kansas City,2011,Johnson County,6565000.0
CA,Danville,SF Bay Area,2015,Contra Costa County,6500000.0
LA,New Orleans,New Orleans,2011,Orleans County,6275000.0
AZ,Phoenix,Phoenix,2015,Maricopa County,6000000.0
MA,Gloucester,Boston,2013,Essex County,6000000.0
PA,Monroeville,Pittsburgh,2014,Allegheny County,6000000.0
LA,Lafayette,"Lafayette, Louisiana",2015,Lafayette County,6000000.0
NJ,South Plainfield,Newark,2013,Middlesex County,6000000.0
WA,Mercer Island,Seattle,2015,King County,6000000.0
FL,Oldsmar,Tampa,2011,Pinellas County,6000000.0
PA,Chalfont,Philadelphia,2015,Bucks County,6000000.0
PA,Blue Bell,Philadelphia,2012,Montgomery County,6000000.0
CA,Pasadena,Los Angeles,2012,Los Angeles County,6000000.0
CA,Oxnard,Santa Barbara,2014,Ventura County,6000000.0
MD,Chevy Chase,"Washington, D.C.",2014,Montgomery County,6000000.0
TN,Franklin,Nashville,2014,Williamson County,5898058.0
