State,City,Region,Year,County,Investment (USD)
MA,Cambridge,Boston,2013,Middlesex County,1646092337.0
GA,Atlanta,Atlanta,2015,Fulton County,1643170675.0
CA,Santa Clara,SF Bay Area,2013,Santa Clara County,1591595472.0
CA,Santa Monica,Los Angeles,2014,Los Angeles County,1560500000.0
CA,San Mateo,SF Bay Area,2012,San Mateo County,1545972049.0
CA,Menlo Park,SF Bay Area,2015,San Mateo County,1541400000.0
UT,American Fork,Salt Lake City,2014,Utah County,1500000000.0
CA,San Diego,San Diego,2012,San Diego County,1487785000.0
CA,Santa Monica,Los Angeles,2015,Los Angeles County,1467900000.0
CA,Irvine,Anaheim,2015,Orange County,1463410113.0
MA,Boston,Boston,2013,Suffolk County,1436135010.0
NJ,Hoboken,Newark,2015,Hudson County,1400000000.0
CA,Palo Alto,SF Bay Area,2012,Santa Clara County,1392013047.0
NC,Charlotte,Charlotte,2015,Mecklenburg County,1355500000.0
CA,Foster City,SF Bay Area,2015,San Mateo County,1352000000.0
CA,Los Altos,SF Bay Area,2013,Santa Clara County,1337553984.0
CA,San Diego,San Diego,2011,San Diego County,1272900000.0
CA,San Jose,SF Bay Area,2011,Santa Clara County,1261859474.0
MA,Waltham,Boston,2012,Middlesex County,1255400000.0
UT,Provo,Salt Lake City,2014,Utah County,1254600000.0
CA,South San Francisco,SF Bay Area,2015,San Mateo County,1249244000.0
CA,San Mateo,SF Bay Area,2013,San Mateo County,1245742243.0
CA,Santa Clara,SF Bay Area,2012,Santa Clara County,1208536274.0
CA,Sunnyvale,SF Bay Area,2011,Santa Clara County,1173466814.0
CA,San Jose,SF Bay Area,2012,Santa Clara County,1153078644.0
WA,Bellevue,Seattle,2012,King County,1150500000.0
CA,San Carlos,SF Bay Area,2015,San Mateo County,1144981260.0
CA,Pleasanton,SF Bay Area,2015,Alameda County,1142000000.0
TX,Austin,Austin,2012,Travis County,1121498314.0
GA,Atlanta,Atlanta,2014,Fulton County,1107603012.0
CA,Los Altos,SF Bay Area,2011,Santa Clara County,1102000000.0
PA,Pittsburgh,Pittsburgh,2014,Allegheny County,1084221228.0
CA,South San Francisco,SF Bay Area,2013,San Mateo County,1032019949.0
CA,Emeryville,SF Bay Area,2015,Alameda County,1015999995.0
CA,Irvine,Anaheim,2014,Orange County,989800000.0
CA,Milpitas,SF Bay Area,2012,Santa Clara County,973039800.0
CO,Denver,Denver,2014,Denver County,967074991.0
MD,Rockville,"Washington, D.C.",2015,Montgomery County,952800000.0
MA,Waltham,Boston,2011,Middlesex County,947025000.0
CA,Los Altos,SF Bay Area,2012,Santa Clara County,910000000.0
CA,San Jose,SF Bay Area,2013,Santa Clara County,906526002.0
UT,Salt Lake City,Salt Lake City,2015,Salt Lake County,880030000.0
MA,Westborough,Worcester,2015,Worcester County,875000000.0
TX,Dallas,Dallas,2015,Dallas County,872500000.0
CA,Los Angeles,Los Angeles,2012,Los Angeles County,864100000.0
MA,Waltham,Boston,2013,Middlesex County,856500000.0
CA,Milpitas,SF Bay Area,2015,Santa Clara County,842500000.0
CA,Los Angeles,Los Angeles,2014,Los Angeles County,831300000.0
CA,Los Altos,SF Bay Area,2014,Santa Clara County,827050000.0
CA,South San Francisco,SF Bay Area,2014,San Mateo County,817800000.0
CA,Carpinteria,Santa Barbara,2015,Santa Barbara County,804000000.0
CA,Menlo Park,SF Bay Area,2011,San Mateo County,793500000.0
CA,Milpitas,SF Bay Area,2013,Santa Clara County,783963684.0
CA,Irvine,Anaheim,2013,Orange County,776000000.0
TX,Houston,Houston,2014,Harris County,773953116.0
DC,Washington,"Washington, D.C.",2015,District of Columbia County,764172842.0
WA,Seattle,Seattle,2011,King County,750469203.0
CO,Denver,Denver,2015,Denver County,748400000.0
TX,Austin,Austin,2013,Travis County,748007600.0
IL,Chicago,Chicago,2013,Cook County,736065790.0
UT,Provo,Salt Lake City,2015,Utah County,731199848.0
CA,Sunnyvale,SF Bay Area,2012,Santa Clara County,721549976.0
PA,Malvern,Philadelphia,2015,Chester County,716500000.0
TX,Dallas,Dallas,2014,Dallas County,715450728.0
CA,Pleasanton,SF Bay Area,2014,Alameda County,714184999.0
WA,Seattle,Seattle,2012,King County,713407964.0
UT,American Fork,Salt Lake City,2015,Utah County,711511675.0
CO,Boulder,Denver,2014,Boulder County,705675000.0
NC,Durham,Raleigh,2011,Durham County,704531360.0
MA,Lexington,Boston,2013,Middlesex County,701000000.0
WA,Bellevue,Seattle,2013,King County,686150000.0
CA,Santa Monica,Los Angeles,2013,Los Angeles County,684900000.0
CA,Pleasanton,SF Bay Area,2011,Alameda County,673200000.0
NC,Durham,Raleigh,2015,Durham County,670700000.0
CA,Menlo Park,SF Bay Area,2012,San Mateo County,668338446.0
MA,Watertown,Boston,2013,Middlesex County,663603492.0
IL,Chicago,Chicago,2012,Cook County,662550000.0
MA,Lexington,Boston,2011,Middlesex County,660700000.0
CA,Sunnyvale,SF Bay Area,2013,Santa Clara County,660391919.0
CO,Denver,Denver,2013,Denver County,652567646.0
TX,Irving,Dallas,2013,Dallas County,648500000.0
TX,Austin,Austin,2011,Travis County,644774993.0
CA,Los Angeles,Los Angeles,2011,Los Angeles County,638520000.0
CA,Santa Barbara,Santa Barbara,2012,Santa Barbara County,622000000.0
CA,Newark,SF Bay Area,2011,Alameda County,616000000.0
MA,Chelsea,Boston,2014,Suffolk County,605000000.0
CA,Santa Barbara,Santa Barbara,2015,Santa Barbara County,603400000.0
MO,Kansas City,Kansas City,2011,Jackson County,600000000.0
MA,Burlington,Boston,2014,Middlesex County,598000000.0
CA,Newark,SF Bay Area,2015,Alameda County,574400000.0
IL,Skokie,Chicago,2014,Cook County,560000000.0
PA,Philadelphia,Philadelphia,2014,Philadelphia County,549300000.0
CA,San Clemente,Anaheim,2015,Orange County,540000000.0
CO,Boulder,Denver,2011,Boulder County,531600000.0
CA,Campbell,SF Bay Area,2014,Santa Clara County,528900000.0
CA,Oakland,SF Bay Area,2015,Alameda County,527000000.0
CA,Hayward,SF Bay Area,2012,Alameda County,517400000.0
CO,Boulder,Denver,2015,Boulder County,510000000.0
OR,Portland,"Portland, Oregon",2013,Multnomah County,504000000.0
MD,Columbia,Baltimore,2015,Howard County,503500000.0
MA,Newton,Boston,2014,Middlesex County,502300000.0
MN,Minneapolis,Minneapolis,2015,Hennepin County,498260304.0
CA,Fremont,SF Bay Area,2012,Alameda County,496641868.0
CA,Campbell,SF Bay Area,2012,Santa Clara County,496200000.0
TX,Coppell,Dallas,2014,Dallas County,495000000.0
CA,Foster City,SF Bay Area,2013,San Mateo County,480000000.0
CA,Los Angeles,Los Angeles,2013,Los Angeles County,475200000.0
GA,Atlanta,Atlanta,2013,Fulton County,474150000.0
DC,Washington,"Washington, D.C.",2014,District of Columbia County,470000000.0
MN,Maple Grove,Minneapolis,2014,Hennepin County,456000000.0
OH,Cleveland,Cleveland,2012,Cuyahoga County,453249024.0
SC,Greenville,Greenville - Spartanburg,2014,Greenville County,446014200.0
NC,Durham,Raleigh,2012,Durham County,443000000.0
CA,Cupertino,SF Bay Area,2012,Santa Clara County,437784044.0
CA,Oakland,SF Bay Area,2014,Alameda County,437387458.0
CA,Campbell,SF Bay Area,2013,Santa Clara County,426200000.0
CA,Oakland,SF Bay Area,2012,Alameda County,424500000.0
CA,El Segundo,Los Angeles,2014,Los Angeles County,422433443.0
CA,Santa Rosa,Napa Valley,2012,Sonoma County,420000000.0
CA,Foster City,SF Bay Area,2011,San Mateo County,418400000.0
UT,Salt Lake City,Salt Lake City,2014,Salt Lake County,412275001.0
NJ,Princeton,Newark,2011,Mercer County,410800000.0
UT,South Jordan,Salt Lake City,2015,Salt Lake County,410000000.0
CA,Cupertino,SF Bay Area,2011,Santa Clara County,407600000.0
CA,Lake Forest,Anaheim,2013,Orange County,404999990.0
MA,Burlington,Boston,2012,Middlesex County,404000000.0
GA,Atlanta,Atlanta,2011,Fulton County,398300000.0
NC,Morrisville,Raleigh,2015,Wake County,396000000.0
CA,Fremont,SF Bay Area,2011,Alameda County,393800000.0
MN,Plymouth,Minneapolis,2014,Hennepin County,393600000.0
GA,Atlanta,Atlanta,2012,Fulton County,381590000.0
CO,Boulder,Denver,2012,Boulder County,379700000.0
CA,South San Francisco,SF Bay Area,2011,San Mateo County,374078000.0
CA,Fremont,SF Bay Area,2014,Alameda County,371200000.0
MA,Watertown,Boston,2015,Middlesex County,368200000.0
CA,El Segundo,Los Angeles,2012,Los Angeles County,366000000.0
MA,Woburn,Boston,2015,Middlesex County,363500000.0
CA,Hayward,SF Bay Area,2015,Alameda County,360500000.0
OR,Portland,"Portland, Oregon",2014,Multnomah County,360200000.0
CA,Santa Rosa,Napa Valley,2013,Sonoma County,360000000.0
MA,Westborough,Worcester,2013,Worcester County,348000000.0
CT,New Haven,Hartford,2015,New Haven County,339000000.0
NC,Morrisville,Raleigh,2014,Wake County,336000000.0
CA,Santa Monica,Los Angeles,2012,Los Angeles County,334676322.0
CA,Milpitas,SF Bay Area,2014,Santa Clara County,334084571.0
PA,Pittsburgh,Pittsburgh,2015,Allegheny County,330518036.0
VA,Arlington,"Washington, D.C.",2014,Arlington County,328500000.0
FL,Orlando,Orlando,2014,Orange County,328200000.0
CA,Burlingame,SF Bay Area,2011,San Mateo County,327000000.0
CA,Irvine,Anaheim,2011,Orange County,324400000.0
CA,Los Altos,SF Bay Area,2015,Santa Clara County,324000000.0
OR,Portland,"Portland, Oregon",2015,Multnomah County,319455467.0
MA,Watertown,Boston,2014,Middlesex County,318000000.0
CA,Milpitas,SF Bay Area,2011,Santa Clara County,316000000.0
CO,Denver,Denver,2011,Denver County,315231864.0
TX,Richardson,Dallas,2011,Dallas County,312000000.0
CA,Cupertino,SF Bay Area,2013,Santa Clara County,309705636.0
MA,Framingham,Boston,2014,Middlesex County,309500000.0
CA,Carpinteria,Santa Barbara,2013,Santa Barbara County,309000000.0
MA,Lexington,Boston,2012,Middlesex County,308100000.0
PA,Malvern,Philadelphia,2011,Chester County,303600000.0
CT,New Haven,Hartford,2014,New Haven County,302500000.0
MD,Baltimore,Baltimore,2013,Baltimore (city) County,301731069.0
WA,Bellevue,Seattle,2015,King County,301689356.0
VA,Blacksburg,Roanoke,2011,Montgomery County,300000000.0
DE,Wilmington,"Wilmington, Delaware",2013,New Castle County,300000000.0
UT,American Fork,Salt Lake City,2013,Utah County,300000000.0
CA,Mill Valley,SF Bay Area,2013,Marin County,300000000.0
CA,Laguna Hills,Los Angeles,2011,Orange County,298500000.0
NY,Brooklyn,New York City,2012,Kings County,285850000.0
GA,Alpharetta,Atlanta,2015,Fulton County,282467000.0
NC,Durham,Raleigh,2013,Durham County,280100000.0
CA,Mill Valley,SF Bay Area,2015,Marin County,280000000.0
CA,Hayward,SF Bay Area,2014,Alameda County,279800000.0
CA,San Carlos,SF Bay Area,2014,San Mateo County,276900000.0
DC,Washington,"Washington, D.C.",2013,District of Columbia County,276780124.0
TX,Coppell,Dallas,2012,Dallas County,276000000.0
NJ,Hoboken,Newark,2014,Hudson County,275000000.0
MA,Somerville,Boston,2015,Middlesex County,272521097.0
CA,Thousand Oaks,Los Angeles,2013,Ventura County,271400000.0
PA,Malvern,Philadelphia,2012,Chester County,271000000.0
MD,Germantown,"Washington, D.C.",2011,Montgomery County,270500000.0
OR,Portland,"Portland, Oregon",2011,Multnomah County,268200000.0
WA,Bothell,Seattle,2012,King County,266000000.0
CA,South San Francisco,SF Bay Area,2012,San Mateo County,265700000.0
CA,Culver City,Los Angeles,2014,Los Angeles County,265000000.0
CA,Laguna Hills,Los Angeles,2013,Orange County,264000000.0
MD,Baltimore,Baltimore,2014,Baltimore (city) County,261050000.0
UT,Salt Lake City,Salt Lake City,2011,Salt Lake County,258419500.0
OH,Cincinnati,Cincinnati,2012,Hamilton County,252800000.0
VA,Roanoke,Roanoke,2011,Roanoke (city) County,252000000.0
AZ,Chandler,Phoenix,2013,Maricopa County,252000000.0
MA,Woburn,Boston,2014,Middlesex County,250800000.0
NM,Albuquerque,Albuquerque,2011,Bernalillo County,250460121.0
DE,Wilmington,"Wilmington, Delaware",2015,New Castle County,250000000.0
MN,Plymouth,Minneapolis,2011,Hennepin County,247300000.0
SC,Charleston,"Charleston, South Carolina",2013,Charleston County,246000000.0
MD,Baltimore,Baltimore,2015,Baltimore (city) County,245780000.0
CO,Denver,Denver,2012,Denver County,245669647.0
MA,Marlborough,Boston,2011,Middlesex County,244800000.0
CA,Burlingame,SF Bay Area,2015,San Mateo County,242500000.0
NY,Brooklyn,New York City,2014,Kings County,242300000.0
UT,Salt Lake City,Salt Lake City,2013,Salt Lake County,242250000.0
CA,Tustin,"Orange County, California",2012,Orange County,241555356.0
NJ,Princeton,Newark,2012,Mercer County,240000000.0
MN,Saint Paul,Minneapolis,2012,Ramsey County,240000000.0
CA,Newark,SF Bay Area,2013,Alameda County,239000000.0
CA,Oakland,SF Bay Area,2011,Alameda County,236000000.0
CA,Berkeley,SF Bay Area,2014,Alameda County,235586554.0
UT,Lehi,Salt Lake City,2015,Utah County,233432483.0
CA,Pasadena,Los Angeles,2013,Los Angeles County,231089597.0
TX,Houston,Houston,2012,Harris County,228789577.0
RI,Providence,Providence,2013,Providence County,228099950.0
MA,Chelsea,Boston,2013,Suffolk County,228000000.0
MI,Ann Arbor,Detroit,2014,Washtenaw County,226820000.0
NC,Durham,Raleigh,2014,Durham County,226749900.0
MA,Burlington,Boston,2015,Middlesex County,225111022.0
GA,Kennesaw,Atlanta,2012,Cobb County,225000000.0
FL,Alachua,Gainesville,2012,Alachua County,225000000.0
RI,East Providence,Providence,2012,Providence County,224000000.0
CA,Cupertino,SF Bay Area,2015,Santa Clara County,222500000.0
MA,Newton,Boston,2011,Middlesex County,222354000.0
AZ,Chandler,Phoenix,2014,Maricopa County,220000000.0
CA,Aliso Viejo,Anaheim,2011,Orange County,213600000.0
SC,Greenville,Greenville - Spartanburg,2011,Greenville County,210000000.0
CA,Calabasas,Los Angeles,2011,Los Angeles County,208600000.0
FL,Miami,Miami,2013,Miami-Dade County,207000000.0
NJ,Bedminster,Newark,2011,Somerset County,206824825.0
WA,Redmond,Seattle,2013,King County,204200000.0
MA,Burlington,Boston,2011,Middlesex County,203900000.0
MD,Stevensville,Baltimore,2013,Queen Anne's County,203000000.0
MI,Ann Arbor,Detroit,2015,Washtenaw County,202013368.0
PA,Malvern,Philadelphia,2014,Chester County,200500000.0
NC,Raleigh,Raleigh,2015,Wake County,199100000.0
PA,Pittsburgh,Pittsburgh,2012,Allegheny County,198060000.0
MD,Stevensville,Baltimore,2014,Queen Anne's County,195908147.0
CA,West Hollywood,Los Angeles,2012,Los Angeles County,195800000.0
WI,Madison,Madison,2015,Dane County,194616390.0
IL,Evanston,Chicago,2012,Cook County,190000000.0
CA,El Segundo,Los Angeles,2011,Los Angeles County,186000000.0
CA,Saratoga,SF Bay Area,2011,Santa Clara County,186000000.0
NC,Raleigh,Raleigh,2014,Wake County,185950000.0
UT,Lehi,Salt Lake City,2014,Utah County,185000000.0
CA,Campbell,SF Bay Area,2015,Santa Clara County,184500000.0
MA,Framingham,Boston,2015,Middlesex County,184000000.0
CO,Boulder,Denver,2013,Boulder County,182731376.0
CA,Goleta,Santa Barbara,2015,Santa Barbara County,182500000.0
CA,El Segundo,Los Angeles,2013,Los Angeles County,182250000.0
MA,Newton,Boston,2012,Middlesex County,181500000.0
CA,Saratoga,SF Bay Area,2012,Santa Clara County,180000000.0
CA,Novato,SF Bay Area,2011,Marin County,180000000.0
CA,Goleta,Santa Barbara,2011,Santa Barbara County,180000000.0
MI,Plymouth,Detroit,2015,Wayne County,179000000.0
CA,Los Gatos,SF Bay Area,2014,Santa Clara County,178999994.0
CA,Davis,Sacramento,2011,Yolo County,177800000.0
CA,Brisbane,SF Bay Area,2011,San Mateo County,176000000.0
PA,Pittsburgh,Pittsburgh,2013,Allegheny County,175600000.0
CA,Emeryville,SF Bay Area,2014,Alameda County,174800000.0
CA,Campbell,SF Bay Area,2011,Santa Clara County,174103450.0
OR,Beaverton,"Portland, Oregon",2011,Washington County,174000000.0
OR,Hillsboro,"Portland, Oregon",2011,Washington County,173500000.0
CA,San Juan Capistrano,"Orange County, California",2013,Orange County,171000000.0
RI,Providence,Providence,2014,Providence County,170000000.0
CA,Belmont,SF Bay Area,2014,San Mateo County,170000000.0
PA,Philadelphia,Philadelphia,2012,Philadelphia County,169500000.0
OH,Columbus,"Columbus, Ohio",2014,Franklin County,168800000.0
CA,Los Gatos,SF Bay Area,2012,Santa Clara County,168150000.0
CA,Belmont,SF Bay Area,2011,San Mateo County,168000000.0
IL,Skokie,Chicago,2013,Cook County,167400000.0
CA,Berkeley,SF Bay Area,2015,Alameda County,165999808.0
TX,Newark,TX - Other,2015,Wise County,164000000.0
CA,San Bruno,SF Bay Area,2015,San Mateo County,164000000.0
CA,Goleta,Santa Barbara,2013,Santa Barbara County,163800000.0
CA,Irvine,Anaheim,2012,Orange County,163600000.0
UT,South Jordan,Salt Lake City,2013,Salt Lake County,163500000.0
MA,Lexington,Boston,2015,Middlesex County,163000000.0
UT,Provo,Salt Lake City,2012,Utah County,162999999.0
MD,Hyattsville,MD - Other,2011,Prince George's County,162500000.0
CA,Pleasanton,SF Bay Area,2012,Alameda County,162000000.0
OH,Cleveland,Cleveland,2013,Cuyahoga County,161870080.0
CA,Burlingame,SF Bay Area,2014,San Mateo County,161704354.0
IL,Skokie,Chicago,2012,Cook County,161500000.0
MN,Minneapolis,Minneapolis,2013,Hennepin County,161200000.0
FL,Miami,Miami,2015,Miami-Dade County,160844770.0
CA,Lucerne Valley,CA - Other,2015,San Bernardino County,160000000.0
WA,Bellevue,Seattle,2014,King County,158000000.0
MD,Hyattsville,MD - Other,2012,Prince George's County,156000000.0
IN,Indianapolis,Indianapolis,2012,Marion County,155640000.0
AZ,Scottsdale,Phoenix,2014,Maricopa County,155499976.0
NJ,Whippany,Newark,2012,Morris County,155000000.0
CA,Goleta,Santa Barbara,2012,Santa Barbara County,155000000.0
CA,Laguna Hills,Los Angeles,2014,Orange County,155000000.0
CO,Westminster,Denver,2013,Adams County,154600000.0
VA,Arlington,"Washington, D.C.",2015,Arlington County,154000000.0
NE,Lincoln,Omaha,2015,Lancaster County,153550560.0
CA,Laguna Beach,Anaheim,2015,Orange County,152500000.0
TX,Dallas,Dallas,2011,Dallas County,150250090.0
TX,Irving,Dallas,2015,Dallas County,150000000.0
FL,Hollywood,Ft. Lauderdale,2013,Broward County,150000000.0
AZ,Tempe,Phoenix,2015,Maricopa County,150000000.0
CA,Santa Cruz,SF Bay Area,2015,Santa Cruz County,150000000.0
MD,Lanham,"Washington, D.C.",2014,Prince George's County,150000000.0
VA,Reston,"Washington, D.C.",2015,Fairfax County,149000000.0
CA,Culver City,Los Angeles,2013,Los Angeles County,147000000.0
NY,Brooklyn,New York City,2015,Kings County,144700000.0
MA,Somerville,Boston,2013,Middlesex County,143399995.0
MD,Baltimore,Baltimore,2011,Baltimore (city) County,143000000.0
CA,Burlingame,SF Bay Area,2012,San Mateo County,142700000.0
CA,Burlingame,SF Bay Area,2013,San Mateo County,141820000.0
AZ,Tucson,Tucson,2011,Pima County,141800000.0
MD,Bethesda,"Washington, D.C.",2012,Montgomery County,141000000.0
NJ,Hackensack,Newark,2014,Bergen County,140000000.0
PA,Newtown Square,Philadelphia,2015,Delaware County,140000000.0
CA,Los Gatos,SF Bay Area,2013,Santa Clara County,140000000.0
SC,Greenville,Greenville - Spartanburg,2012,Greenville County,138000000.0
MD,Bethesda,"Washington, D.C.",2014,Montgomery County,137200000.0
VA,Arlington,"Washington, D.C.",2013,Arlington County,136250000.0
NY,Brooklyn,New York City,2011,Kings County,136000000.0
MA,Andover,Boston,2015,Essex County,136000000.0
MA,Lowell,Boston,2014,Middlesex County,136000000.0
MA,Newton,Boston,2015,Middlesex County,135260000.0
NJ,Mount Arlington,Newark,2014,Morris County,135000000.0
UT,Ogden,Salt Lake City,2015,Weber County,135000000.0
OH,Cincinnati,Cincinnati,2015,Hamilton County,133450000.0
CA,Pasadena,Los Angeles,2011,Los Angeles County,132500000.0
TN,Nashville,Nashville,2013,Davidson County,132289988.0
OH,Beachwood,Cleveland,2013,Cuyahoga County,132000000.0
CA,Santa Rosa,Napa Valley,2011,Sonoma County,132000000.0
CA,Glendale,Los Angeles,2011,Los Angeles County,132000000.0
MA,Danvers,Boston,2015,Essex County,132000000.0
PA,Philadelphia,Philadelphia,2015,Philadelphia County,131802136.0
NM,Albuquerque,Albuquerque,2012,Bernalillo County,130300000.0
FL,Miami,Miami,2012,Miami-Dade County,129000000.0
MA,Westborough,Worcester,2012,Worcester County,129000000.0
CA,Camarillo,Santa Barbara,2012,Ventura County,128000000.0
PA,Pittsburgh,Pittsburgh,2011,Allegheny County,127500000.0
WI,Madison,Madison,2014,Dane County,126750000.0
CA,Newport Beach,Anaheim,2015,Orange County,125000000.0
MD,Gaithersburg,"Washington, D.C.",2014,Montgomery County,125000000.0
MD,Fulton,Baltimore,2012,Howard County,125000000.0
OR,Portland,"Portland, Oregon",2012,Multnomah County,124900000.0
CA,San Carlos,SF Bay Area,2013,San Mateo County,124676443.0
MN,Minneapolis,Minneapolis,2014,Hennepin County,124000000.0
VA,Reston,"Washington, D.C.",2014,Fairfax County,122834976.0
FL,Orlando,Orlando,2012,Orange County,122200000.0
CA,El Segundo,Los Angeles,2015,Los Angeles County,121000000.0
CA,Saratoga,SF Bay Area,2013,Santa Clara County,120000000.0
CA,San Clemente,Anaheim,2014,Orange County,120000000.0
MN,Eden Prairie,Minneapolis,2015,Hennepin County,120000000.0
NJ,Hackensack,Newark,2013,Bergen County,119700000.0
CA,Thousand Oaks,Los Angeles,2012,Ventura County,117500000.0
UT,Draper,Salt Lake City,2014,Salt Lake County,117101767.0
MI,Detroit,Detroit,2014,Wayne County,116922152.0
FL,Miami,Miami,2014,Miami-Dade County,116800000.0
CA,Emeryville,SF Bay Area,2013,Alameda County,116310000.0
CO,Lakewood,Denver,2012,Jefferson County,115850000.0
MN,Minneapolis,Minneapolis,2012,Hennepin County,115400000.0
TN,Nashville,Nashville,2015,Davidson County,115280264.0
NH,Nashua,"Manchester, New Hampshire",2015,Hillsborough County,115000000.0
CA,Hayward,SF Bay Area,2013,Alameda County,114000000.0
MO,Kansas City,Kansas City,2014,Jackson County,114000000.0
MI,Ann Arbor,Detroit,2012,Washtenaw County,113049976.0
CA,Folsom,Sacramento,2011,Sacramento County,112000000.0
NC,Chapel Hill,Raleigh,2012,Orange County,112000000.0
MA,Wellesley,Boston,2013,Norfolk County,111000000.0
NC,Morrisville,Raleigh,2013,Wake County,110102090.0
VA,Glen Allen,Richmond,2011,Henrico County,109800000.0
TN,Nashville,Nashville,2011,Davidson County,109470000.0
NH,Nashua,"Manchester, New Hampshire",2013,Hillsborough County,109125000.0
CA,Santa Barbara,Santa Barbara,2014,Santa Barbara County,109000000.0
FL,Winter Park,Orlando,2015,Orange County,108400000.0
UT,South Jordan,Salt Lake City,2012,Salt Lake County,108000000.0
TN,Brentwood,Nashville,2013,Williamson County,106500125.0
KY,California,KY - Other,2015,Campbell County,106000000.0
TX,Spring,Houston,2014,Harris County,106000000.0
KS,Kansas City,Kansas City,2011,Wyandotte County,105000000.0
MD,Glen Burnie,Baltimore,2011,Anne Arundel County,105000000.0
CA,Aliso Viejo,Anaheim,2014,Orange County,104000000.0
CA,Aliso Viejo,Anaheim,2012,Orange County,104000000.0
CA,Carlsbad,San Diego,2014,San Diego County,103381806.0
OH,Beachwood,Cleveland,2011,Cuyahoga County,103200000.0
NV,Las Vegas,Las Vegas,2014,Clark County,103000000.0
MA,Woburn,Boston,2012,Middlesex County,103000000.0
MD,Gaithersburg,"Washington, D.C.",2012,Montgomery County,102000000.0
UT,Provo,Salt Lake City,2013,Utah County,101100086.0
CA,Santa Monica,Los Angeles,2011,Los Angeles County,100902000.0
CA,Azusa,Ontario - Inland Empire,2011,Los Angeles County,100000000.0
NJ,Morris Plains,Newark,2014,Morris County,100000000.0
MD,Columbia,Baltimore,2012,Howard County,100000000.0
CA,Pasadena,Los Angeles,2014,Los Angeles County,100000000.0
MN,Minnetonka,Minneapolis,2012,Hennepin County,100000000.0
MA,Somerville,Boston,2012,Middlesex County,99900000.0
UT,American Fork,Salt Lake City,2011,Utah County,99000000.0
UT,Ogden,Salt Lake City,2011,Weber County,99000000.0
GA,Alpharetta,Atlanta,2012,Fulton County,98002760.0
IN,Indianapolis,Indianapolis,2015,Marion County,98000000.0
WA,Bellevue,Seattle,2011,King County,96700000.0
ID,Boise,Boise,2015,Ada County,96000000.0
CO,Centennial,Denver,2011,Arapahoe County,95600000.0
VA,Reston,"Washington, D.C.",2012,Fairfax County,95500000.0
CT,Orange,Hartford,2011,New Haven County,95000000.0
CA,Mill Valley,SF Bay Area,2012,Marin County,95000000.0
CA,Thousand Oaks,Los Angeles,2014,Ventura County,94500000.0
OH,Cleveland,Cleveland,2011,Cuyahoga County,93600000.0
FL,Boca Raton,Palm Beaches,2015,Palm Beach County,93500000.0
PA,Philadelphia,Philadelphia,2013,Philadelphia County,93300000.0
MI,Kalamazoo,Kalamazoo,2014,Kalamazoo County,93150154.0
MD,Bethesda,"Washington, D.C.",2011,Montgomery County,93000000.0
IL,Evanston,Chicago,2011,Cook County,92200000.0
CA,West Hollywood,Los Angeles,2014,Los Angeles County,92000000.0
VA,Fairfax,"Washington, D.C.",2013,Fairfax (city) County,92000000.0
MI,Ann Arbor,Detroit,2013,Washtenaw County,90000000.0
PA,Plymouth Meeting,Philadelphia,2013,Montgomery County,90000000.0
UT,Orem,Salt Lake City,2013,Utah County,90000000.0
NJ,Hackensack,Newark,2011,Bergen County,90000000.0
CO,Westminster,Denver,2014,Adams County,90000000.0
ME,Portland,"Portland, Maine",2011,Cumberland County,88000000.0
CA,San Ramon,SF Bay Area,2013,Contra Costa County,88000000.0
CT,Shelton,Hartford,2011,Fairfield County,87500000.0
NC,Wilmington,"Wilmington - Cape Fear, North Carolina",2015,New Hanover County,87000000.0
CA,Carlsbad,San Diego,2012,San Diego County,86800000.0
CA,Emeryville,SF Bay Area,2012,Alameda County,85971141.0
CA,Torrance,Los Angeles,2013,Los Angeles County,85400000.0
MN,Minneapolis,Minneapolis,2011,Hennepin County,84500000.0
TN,Knoxville,Knoxville,2012,Knox County,84500000.0
NH,Nashua,"Manchester, New Hampshire",2012,Hillsborough County,84300000.0
TN,Knoxville,Knoxville,2015,Knox County,84000000.0
OR,Ashland,Medford,2011,Jackson County,84000000.0
GA,Alpharetta,Atlanta,2014,Fulton County,84000000.0
MA,Woburn,Boston,2013,Middlesex County,83999960.0
TX,Houston,Houston,2015,Harris County,82654000.0
CA,Berkeley,SF Bay Area,2012,Alameda County,82200000.0
CA,Fremont,SF Bay Area,2015,Alameda County,82000000.0
CA,Culver City,Los Angeles,2012,Los Angeles County,81000000.0
NJ,Piscataway,Newark,2012,Middlesex County,81000000.0
TX,San Antonio,San Antonio,2014,Bexar County,80800000.0
CA,San Bruno,SF Bay Area,2011,San Mateo County,80800000.0
AZ,Phoenix,Phoenix,2014,Maricopa County,80000000.0
NC,Cary,Raleigh,2015,Wake County,80000000.0
VA,Vienna,"Washington, D.C.",2011,Fairfax County,80000000.0
CA,San Rafael,SF Bay Area,2015,Marin County,80000000.0
OH,Cincinnati,Cincinnati,2014,Hamilton County,79800000.0
TN,Nashville,Nashville,2012,Davidson County,78289908.0
WA,Kirkland,Seattle,2011,King County,78000000.0
VA,Alexandria,Alexandria,2011,Alexandria (city) County,76787500.0
CA,Carlsbad,San Diego,2013,San Diego County,76450000.0
PA,Wayne,Philadelphia,2015,Delaware County,76000000.0
TX,Dallas,Dallas,2012,Dallas County,75900000.0
