Origin State,Count
Michigan,81
Pennsylvania,79
Wisconsin,76
New York,64
Massachusetts,64
New Jersey,43
Minnesota,36
Connecticut,30
Kentucky,9
New Hampshire,8
Rhode Island,4
Maine,3
Wyoming,1
