University Name,World Rank,Teaching,Research,Citations,Student Staff Ratio,Year,State,Lat,Lng
Harvard University,2.8333333333333335,93.7,98.46666666666668,99.26666666666665,8.9,2013.5,Massachusetts,42.3770029,-71.11666009999999
University of Michigan,18.166666666666668,76.53333333333333,88.06666666666666,90.68333333333334,9.0,2013.5,Michigan,42.2780436,-83.7382241
University of Pennsylvania,16.5,81.60000000000001,84.71666666666668,95.95,6.5,2013.5,Pennsylvania,39.9522188,-75.1932137
Columbia University,14.333333333333334,84.83333333333331,79.71666666666667,95.91666666666667,5.8999999999999995,2013.5,New York,40.8075355,-73.9625727
Princeton University,6.0,88.91666666666667,96.35000000000001,99.71666666666665,8.4,2013.5,New Jersey,40.3430942,-74.65507389999999
Yale University,10.666666666666666,90.34999999999998,90.41666666666667,94.61666666666667,4.3999999999999995,2013.5,Connecticut,41.3163244,-72.92234309999999
University of Minnesota,46.6,62.21999999999999,68.6,82.12,18.0,2013.0,Minnesota,44.97399,-93.2277285
University of Wisconsin-Madison,33.4,70.6,72.91999999999999,88.05999999999999,10.8,2014.0,Wisconsin,43.076592,-89.4124875
