University Name,World Rank,Teaching,Research,Citations,Student Staff Ratio,Year,State,Lat,Lng,Points
University of Michigan,18.166666666666668,76.53333333333333,88.06666666666666,90.68333333333334,9.0,2013.5,Michigan,42.2780436,-83.7382241,172.83333333333334
Michigan State University,95.4,50.14,51.52,71.32000000000001,15.7,2013.0,Michigan,42.701848,-84.4821719,95.6
