University Name,World Rank,Teaching,Research,Citations,Student Staff Ratio,Year,State,Lat,Lng,Points
Columbia University,14.333333333333334,84.83333333333331,79.71666666666667,95.91666666666667,5.8999999999999995,2013.5,New York,40.8075355,-73.9625727,176.66666666666666
New York University,42.166666666666664,67.39999999999999,62.76666666666667,89.51666666666665,6.8,2013.5,New York,40.72951339999999,-73.9964609,148.83333333333334
Stony Brook University,144.0,38.06,29.9,83.54,10.9,2013.0,New York,40.914224,-73.11623,47.0
Yeshiva University,147.2,50.260000000000005,29.660000000000004,76.76,5.5,2013.0,New York,40.85067249999999,-73.9295149,43.80000000000001
Georgetown University,161.8,55.4,34.89999999999999,57.4,8.5,2013.0,New York,40.7539143,-73.9810162,29.19999999999999
Syracuse University,177.0,32.4,24.4,87.1,15.9,2015.0,New York,43.03767,-76.13399,14.0
