State,Total Points
Michigan,268.43333333333334
Wisconsin,157.6
Pennsylvania,584.6666666666667
Massachusetts,802.4333333333334
New York,459.5
New Jersey,185.0
Minnesota,144.4
Connecticut,180.33333333333334
Rhode Island,0.0
New Hampshire,0.0
Maine,0.0
