University Name,World Rank,Teaching,Research,Citations,Student Staff Ratio,Year,State,Lat,Lng,Points
Harvard University,2.8333333333333335,93.7,98.46666666666668,99.26666666666665,8.9,2013.5,Massachusetts,42.3770029,-71.11666009999999,188.16666666666666
Massachusetts Institute of Technology,5.166666666666667,92.46666666666665,88.96666666666665,99.91666666666667,9.0,2013.5,Massachusetts,42.360091,-71.09416,185.83333333333334
Boston University,56.333333333333336,58.400000000000006,48.550000000000004,94.76666666666667,8.6,2013.5,Massachusetts,42.3504997,-71.1053991,134.66666666666666
Tufts University,77.0,50.559999999999995,38.42,92.0,10.0,2013.0,Massachusetts,42.4074843,-71.1190232,114.0
University of Massachusetts,92.66666666666667,49.68333333333334,52.96666666666667,77.86666666666666,13.0,2013.5,Massachusetts,42.391155,-72.526711,98.33333333333333
Boston College,153.4,31.959999999999997,28.24,88.46,17.4,2013.0,Massachusetts,42.3355488,-71.16849450000001,37.599999999999994
Brandeis University,153.66666666666666,26.633333333333336,26.900000000000002,90.66666666666667,12.6,2013.6666666666667,Massachusetts,42.3654796,-71.2587009,37.33333333333334
Northeastern University,184.5,35.45,20.85,81.65,15.1,2014.5,Massachusetts,42.3398067,-71.0891717,6.5
